zona;item;cobertura;dn
LIMA NORTE;Noble DH X 2;10998;75
LIMA NORTE;Elite DH X 4;3882;45
LIMA NORTE;Noble Premium x 4;0;0
LIMA SUR;Noble DH X 2;5590;77
LIMA SUR;Elite DH X 2;5297;68
LIMA SUR;Elite DH X 4;3179;40
LIMA SUR;Noble Premium x 4;0;0
LIMA METRO;Noble DH X 2;5281;77
LIMA METRO;Elite DH X 4;2486;50
LIMA METRO;Elite DH X 2;3942;59
LIMA METRO;Noble Premium x 4;0;0
LIMA CENTRO;Noble DH X 2;6334;77
LIMA CENTRO;Elite DH X 4;2951;42
LIMA CENTRO;Elite DH X 2;3806;48
LIMA CENTRO;Noble Premium x 4;0;0
LIMA NORTE;Noble DH X 2;9081;80
LIMA NORTE;Elite DH X 4;3416;42
LIMA NORTE;Noble Premium x 4;0;0
LIMA SUR;Noble DH X 2;4784;81
LIMA SUR;Elite DH X 2;4607;67
LIMA SUR;Elite DH X 4;2694;38
LIMA SUR;Noble Premium x 4;0;0
LIMA METRO;Noble DH X 2;4401;77
LIMA METRO;Elite DH X 4;2104;46
LIMA METRO;Elite DH X 2;3726;61
LIMA METRO;Noble Premium x 4;0;0
LIMA CENTRO;Noble DH X 2;5234;73
LIMA CENTRO;Elite DH X 4;2552;42
LIMA CENTRO;Elite DH X 2;3514;50
LIMA CENTRO;Noble Premium x 4;12;0
LIMA NORTE;Noble DH X 2;11434;82
LIMA NORTE;Elite DH X 4;5460;42
LIMA NORTE;Noble Premium x 4;1525;0
LIMA SUR;Noble DH X 2;4980;78
LIMA SUR;Elite DH X 2;4476;66
LIMA SUR;Elite DH X 4;3219;36
LIMA SUR;Noble Premium x 4;950;1
LIMA METRO;Noble DH X 2;4479;75
LIMA METRO;Elite DH X 4;2202;45
LIMA METRO;Elite DH X 2;3180;61
LIMA METRO;Noble Premium x 4;615;2
LIMA CENTRO;Noble DH X 2;5496;71
LIMA CENTRO;Elite DH X 4;2977;40
LIMA CENTRO;Elite DH X 2;3189;47
LIMA CENTRO;Noble Premium x 4;671;0
LIMA NORTE;Noble DH X 2;10625;74
LIMA NORTE;Elite DH X 4;4515;39
LIMA NORTE;Noble Premium x 4;3728;0
LIMA SUR;Noble DH X 2;5135;74
LIMA SUR;Elite DH X 2;4308;67
LIMA SUR;Elite DH X 4;3446;36
LIMA SUR;Noble Premium x 4;1952;5
LIMA METRO;Noble DH X 2;3788;75
LIMA METRO;Elite DH X 4;2449;42
LIMA METRO;Elite DH X 2;2999;58
LIMA METRO;Noble Premium x 4;976;4
LIMA CENTRO;Noble DH X 2;5762;64
LIMA CENTRO;Elite DH X 4;3209;37
LIMA CENTRO;Elite DH X 2;3300;44
LIMA CENTRO;Noble Premium x 4;1907;2
LIMA NORTE;Noble DH X 2;10827;77
LIMA NORTE;Elite DH X 4;4773;43
LIMA NORTE;Noble Premium x 4;3489;1
LIMA SUR;Noble DH X 2;5780;76
LIMA SUR;Elite DH X 2;4720;70
LIMA SUR;Elite DH X 4;3648;36
LIMA SUR;Noble Premium x 4;2298;7
LIMA METRO;Noble DH X 2;4315;73
LIMA METRO;Elite DH X 4;2478;47
LIMA METRO;Elite DH X 2;3135;60
LIMA METRO;Noble Premium x 4;1313;4
LIMA CENTRO;Noble DH X 2;6408;70
LIMA CENTRO;Elite DH X 4;3492;36
LIMA CENTRO;Elite DH X 2;3234;43
LIMA CENTRO;Noble Premium x 4;1994;3
LIMA NORTE;Noble DH X 2;9848;78
LIMA NORTE;Elite DH X 4;6336;44
LIMA NORTE;Noble Premium x 4;5045;4
LIMA SUR;Noble DH X 2;5283;76
LIMA SUR;Elite DH X 2;4247;67
LIMA SUR;Elite DH X 4;3852;36
LIMA SUR;Noble Premium x 4;3085;5
LIMA METRO;Noble DH X 2;3661;74
LIMA METRO;Elite DH X 4;2452;45
LIMA METRO;Elite DH X 2;2583;58
LIMA METRO;Noble Premium x 4;2264;8
LIMA CENTRO;Noble DH X 2;6002;70
LIMA CENTRO;Elite DH X 4;4304;35
LIMA CENTRO;Elite DH X 2;2859;42
LIMA CENTRO;Noble Premium x 4;2255;2
LIMA NORTE;Noble DH X 2;10732;77
LIMA NORTE;Elite DH X 4;5945;48
LIMA NORTE;Noble Premium x 4;7175;11
LIMA SUR;Noble DH X 2;6350;75
LIMA SUR;Elite DH X 2;4126;62
