zona,item,cobertura,dn
LIMA NORTE,Noble DH X 2,10998,75
LIMA NORTE,Elite DH X 4,3882,45
LIMA NORTE,Noble Premium x 4,0,0
LIMA NORTE,Noble DH X 2,9081,80
LIMA NORTE,Elite DH X 4,3416,42
LIMA NORTE,Noble Premium x 4,0,0
LIMA NORTE,Noble DH X 2,11434,82
LIMA NORTE,Elite DH X 4,5460,42
LIMA NORTE,Noble Premium x 4,1525,0
LIMA NORTE,Noble DH X 2,10625,74
LIMA NORTE,Elite DH X 4,4515,39
LIMA NORTE,Noble Premium x 4,3728,0
LIMA NORTE,Noble DH X 2,10827,77
LIMA NORTE,Elite DH X 4,4773,43
LIMA NORTE,Noble Premium x 4,3489,1
LIMA NORTE,Noble DH X 2,9848,78
LIMA NORTE,Elite DH X 4,6336,44
LIMA NORTE,Noble Premium x 4,5045,4
LIMA NORTE,Noble DH X 2,10732,77
LIMA NORTE,Elite DH X 4,5945,48
LIMA NORTE,Noble Premium x 4,7175,11
LIMA NORTE,Noble DH X 2,11686,81
LIMA NORTE,Elite DH X 4,5179,47
LIMA NORTE,Noble Premium x 4,4947,16
LIMA NORTE,Noble DH X 2,9273,81
LIMA NORTE,Elite DH X 4,4490,48
LIMA NORTE,Noble Premium x 4,6231,25
LIMA NORTE,Noble DH X 2,12317,85
LIMA NORTE,Elite DH X 4,4102,49
LIMA NORTE,Noble Premium x 4,8783,28
LIMA NORTE,Noble DH X 2,10433,89
LIMA NORTE,Elite DH X 4,3609,52
LIMA NORTE,Noble Premium x 4,6020,30
LIMA NORTE,Noble DH X 2,12491,89
LIMA NORTE,Elite DH X 4,3627,52
LIMA NORTE,Noble Premium x 4,6336,33
