Categoria;Marca;Contenido;SubCategoria;Segmento;Variedad;Presentacion;Empaque;Codigo_SAP;Formato;Ambito;Pais;Rangos;Nombre_Tipo_Venta;Venta>1461
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;M251;Cluster2;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;M594;Cluster2;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;M864;Cluster2;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;P119;Cluster3;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;P138;Cluster4;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;P143;Cluster3;Provincias;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;P158;Cluster6;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;P207;Cluster6;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;P216;Cluster6;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;P291;Cluster3;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;Y448;Cluster1;Lima;Peru;Otros;Venta CNegocio;0
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;Y448;Cluster1;Lima;Peru;Otros;Venta Ecommerce;0
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;Y448;Cluster1;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;Y449;Cluster1;Provincias;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;Y509;Cluster1;Provincias;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;Y510;Cluster1;Provincias;Peru;Otros;Venta POS;1
Papel toalla;ELT;1 Und;Otros;Economico;Otros;Otros;Otros;Y511;Cluster1;Provincias;Peru;Otros;Venta POS;1
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P001;Cluster3;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P010;Cluster6;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P037;Cluster3;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P048;Cluster3;Lima;Peru;Otros;Venta Ecommerce;0
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P048;Cluster3;Lima;Peru;Otros;Venta POS;1
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P052;Cluster3;Lima;Peru;Otros;Venta POS;1
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P059;Cluster3;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P061;Cluster3;Lima;Peru;Otros;Venta Ecommerce;0
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P061;Cluster3;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P064;Cluster3;Lima;Peru;Otros;Venta Ecommerce;0
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P064;Cluster3;Lima;Peru;Otros;Venta POS;1
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P066;Cluster3;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P068;Cluster3;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P075;Cluster3;Provincias;Peru;Otros;Venta Ecommerce;0
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P075;Cluster3;Provincias;Peru;Otros;Venta POS;1
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P080;Cluster3;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P081;Cluster3;Lima;Peru;Otros;Venta Ecommerce;0
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P081;Cluster3;Lima;Peru;Otros;Venta POS;1
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P084;Cluster3;Lima;Peru;Otros;Venta POS;0
Papel toalla;ELT;1 Und;Otros;Medio;Otros;Otros;Otros;P089;Cluster3;Lima;Peru;Otros;Venta POS;0
